date,sector,sentiment,coverage,headline_count,lagged_sentiment,sentiment_0_100
2021-11-18,Utilities,0.059199999999999996,0.6,3,0.12738,52.959999999999994
2021-11-19,Utilities,0.11717999999999999,0.4,2,0.059199999999999996,55.859
2021-11-22,Utilities,0.10234666666666666,0.6,6,0.11717999999999999,55.11733333333333
2021-11-23,Utilities,0.0,0.2,1,0.10234666666666666,50.0
2021-11-24,Utilities,0.068,0.2,1,0.0,53.400000000000006
2021-11-26,Utilities,0.0,0.0,0,0.068,50.0
2021-11-29,Utilities,0.04755,0.2,4,0.0,52.3775
2021-11-30,Utilities,0.11713,0.4,4,0.04755,55.8565
2021-12-01,Utilities,0.02732,0.6,4,0.11713,51.366
2021-12-02,Utilities,0.0,0.2,1,0.02732,50.0
2021-12-03,Utilities,0.16612,0.4,3,0.0,58.306000000000004
2021-12-06,Utilities,0.15674,0.6,3,0.16612,57.837
2021-12-07,Utilities,0.16999,0.4,3,0.15674,58.499500000000005
2021-12-08,Utilities,-0.05464,0.2,1,0.16999,47.268
2021-12-09,Utilities,0.0,0.0,0,-0.05464,50.0
2021-12-10,Utilities,0.059199999999999996,0.2,1,0.0,52.959999999999994
2021-12-13,Utilities,0.14066,0.4,4,0.059199999999999996,57.033
2021-12-14,Utilities,0.1089,0.6,3,0.14066,55.445
2021-12-15,Utilities,0.05464,0.6,3,0.1089,52.732
2021-12-16,Utilities,0.0,0.4,2,0.05464,50.0
2021-12-17,Utilities,0.0,0.8,4,0.0,50.0
2021-12-20,Utilities,0.17284000000000002,0.6,4,0.0,58.642
2021-12-21,Utilities,0.23176000000000002,0.4,2,0.17284000000000002,61.588
2021-12-22,Utilities,0.0,0.2,1,0.23176000000000002,50.0
2021-12-23,Utilities,0.09152,0.2,1,0.0,54.576
2021-12-27,Utilities,-0.02023,0.2,2,0.09152,48.9885
2021-12-28,Utilities,-0.00633999999999999,0.6,3,-0.02023,49.683
2021-12-29,Utilities,0.13183000000000003,0.6,4,-0.00633999999999999,56.5915
2021-12-30,Utilities,0.17163,0.4,3,0.13183000000000003,58.5815
2021-12-31,Utilities,0.05464,0.4,3,0.17163,52.732
2022-01-03,Utilities,0.04527,0.6,5,0.05464,52.26349999999999
2022-01-04,Utilities,0.20779999999999998,1.0,5,0.04527,60.39
2022-01-05,Utilities,0.08158000000000001,0.4,2,0.20779999999999998,54.079
2022-01-06,Utilities,0.059199999999999996,0.2,1,0.08158000000000001,52.959999999999994
2022-01-07,Utilities,0.08928,0.6,3,0.059199999999999996,54.464
2022-01-10,Utilities,0.33099,0.8,8,0.08928,66.5495
2022-01-11,Utilities,0.059199999999999996,0.4,2,0.33099,52.959999999999994
2022-01-12,Utilities,0.0,0.2,1,0.059199999999999996,50.0
2022-01-13,Utilities,0.15829,0.6,4,0.0,57.914500000000004
2022-01-14,Utilities,0.10338,0.8,6,0.15829,55.169000000000004
2022-01-18,Utilities,0.3897533333333333,1.0,9,0.10338,69.48766666666666
2022-01-19,Utilities,0.1315366666666667,1.0,9,0.3897533333333333,56.57683333333333
2022-01-20,Utilities,0.30874999999999997,0.8,5,0.1315366666666667,65.4375
2022-01-21,Utilities,0.20318,1.0,9,0.30874999999999997,60.159
2022-01-24,Utilities,0.036655,0.6,6,0.20318,51.832750000000004
2022-01-25,Utilities,0.2609933333333333,0.8,16,0.036655,63.04966666666667
2022-01-26,Utilities,0.18020999999999998,0.6,4,0.2609933333333333,59.0105
2022-01-27,Utilities,0.22464666666666666,0.8,7,0.18020999999999998,61.23233333333333
2022-01-28,Utilities,0.2271266666666667,1.0,7,0.22464666666666666,61.35633333333333
2022-01-31,Utilities,0.14049999999999999,0.8,11,0.2271266666666667,57.025000000000006
2022-02-01,Utilities,0.30168,0.8,9,0.14049999999999999,65.084
2022-02-02,Utilities,0.15904000000000001,0.6,5,0.30168,57.952000000000005
2022-02-03,Utilities,0.32608,0.8,6,0.15904000000000001,66.304
2022-02-04,Utilities,0.21017999999999998,0.8,10,0.32608,60.509
2022-02-07,Utilities,0.14033333333333334,1.0,11,0.21017999999999998,57.01666666666667
2022-02-08,Utilities,0.15626,0.6,7,0.14033333333333334,57.813
2022-02-09,Utilities,0.20698,0.6,6,0.15626,60.349
2022-02-10,Utilities,0.22026399999999996,1.0,13,0.20698,61.0132
2022-02-11,Utilities,0.147532,1.0,9,0.22026399999999996,57.376599999999996
